Transaction_ID,Date,Customer_ID,Product,Quantity,Payment_Method,Category,Country,Discount_Percentage,Shipping_Cost,Delivery_Days,Customer_Rating,Return_Status,Unit_Price,Total_Price_Before_Discount,Discount_Amount,Price_After_Discount,Final_Total
TXN_0004163,01-01-2023,CUST_00662,Router,6,Credit Card,Networking,India,0,5,19,5,No,247,1482,0,1482,1487
TXN_0003251,01-01-2023,CUST_00522,Hard Drive,6,Credit Card,Storage,USA,5,15,10,5,No,214,1284,64.2,1219.8,1234.8
TXN_0001138,01-01-2023,CUST_00941,Charger,3,Credit Card,Accessories,USA,0,10,29,5,Yes,105,315,0,315,325
TXN_0002035,01-01-2023,CUST_00799,Speaker,5,Apple Pay,Accessories,USA,5,5,29,4,Yes,189,945,47.25,897.75,902.75
TXN_0000649,01-01-2023,CUST_00388,Monitor,3,Debit Card,Peripherals,USA,5,25,25,4,No,466,1398,69.9,1328.1,1353.1
TXN_0000756,01-01-2023,CUST_00251,USB Cable,1,Google Pay,Accessories,Germany,20,15,13,4,No,84,84,16.8,67.2,82.2
TXN_0003557,01-01-2023,CUST_00429,Headphones,5,PayPal,Accessories,India,5,20,27,5,No,226,1130,56.5,1073.5,1093.5
TXN_0000980,01-01-2023,CUST_00130,USB Cable,9,PayPal,Accessories,Germany,0,25,8,5,No,7,63,0,63,88
TXN_0001978,01-01-2023,CUST_00788,Monitor,2,Google Pay,Peripherals,UK,20,5,18,5,No,390,780,156,624,629
TXN_0003052,01-01-2023,CUST_00929,Microphone,3,Bank Transfer,Peripherals,Canada,15,10,28,4,No,116,348,52.2,295.8,305.8
TXN_0002136,02-01-2023,CUST_00688,Hard Drive,6,PayPal,Storage,Canada,10,20,7,4,No,136,816,81.6,734.4,754.4
TXN_0001916,02-01-2023,CUST_00738,Speaker,2,Google Pay,Accessories,Japan,0,0,17,5,No,298,596,0,596,596
TXN_0000269,02-01-2023,CUST_00702,Mouse,7,Credit Card,Peripherals,India,0,15,25,5,No,34,238,0,238,253
TXN_0000213,02-01-2023,CUST_00498,Keyboard,6,Debit Card,Peripherals,UK,0,20,26,4,No,147,882,0,882,902
TXN_0000069,02-01-2023,CUST_00731,Headphones,8,Google Pay,Accessories,Australia,5,15,4,1,No,138,1104,55.2,1048.8,1063.8
TXN_0001802,02-01-2023,CUST_00444,Router,2,Apple Pay,Networking,Canada,0,5,13,5,No,193,386,0,386,391
TXN_0004477,03-01-2023,CUST_00454,Router,3,Bank Transfer,Networking,Germany,15,15,17,5,No,221,663,99.45,563.55,578.55
